Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Guaranteed Stop Loss,Take Profit,Trailing Stop,Financing,Commission,GSL Fee,GSL Premium,P/L,Amount,Balance
95,2/21/2020 12:47,CST,MARKET_ORDER,CLIENT_ORDER,USD/MXN,,1,Sell,,19.2,,18.55,,,,,,,,
96,2/21/2020 12:47,CST,ORDER_FILL,MARKET_ORDER,USD/MXN,18.85935,1,Sell,0.0001,,,,,0,0,0,,0,,5007.55
97,2/21/2020 12:47,CST,TAKE_PROFIT_ORDER,ON_FILL,,18.55,,,,,,,,,,,,,,
98,2/21/2020 12:47,CST,STOP_LOSS_ORDER,ON_FILL,,19.2,,,,,,,,,,,,,,
99,2/21/2020 12:48,CST,MARKET_ORDER,CLIENT_ORDER,USD/MXN,,7000,Sell,,19.05,,18.55,,,,,,,,
100,2/21/2020 12:48,CST,ORDER_FILL,MARKET_ORDER,USD/MXN,18.8625,7000,Sell,0.6568,,,,,0,0,0,,0,,5007.55
101,2/21/2020 12:48,CST,TAKE_PROFIT_ORDER,ON_FILL,,18.55,,,,,,,,,,,,,,
102,2/21/2020 12:48,CST,STOP_LOSS_ORDER,ON_FILL,,19.05,,,,,,,,,,,,,,
103,2/21/2020 12:48,CST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,,,
104,2/21/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0.7399,,,,,,5008.29
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0484,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 77,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 85,USD/JPY,,,,,,,,,0,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 96,USD/MXN,,,,,,,,,0.0001,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 100,USD/MXN,,,,,,,,,0.7901,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,-0.0079,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 81,USD/CNH,,,,,,,,,0.0002,,,,,,
,2/21/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0012,,,,,,
105,2/22/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,5008.29
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 77,EUR/USD,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 85,USD/JPY,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 96,USD/MXN,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 100,USD/MXN,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 81,USD/CNH,,,,,,,,,0,,,,,,
,2/22/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,0,,,,,,
106,2/23/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,5008.29
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 77,EUR/USD,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 85,USD/JPY,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 96,USD/MXN,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 100,USD/MXN,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 81,USD/CNH,,,,,,,,,0,,,,,,
,2/23/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,0,,,,,,
107,2/23/2020 18:39,CST,MARKET_ORDER,CLIENT_ORDER,USD/CNH,,1250,Sell,,7.14868,,6.94868,,,,,,,,
108,2/23/2020 18:39,CST,ORDER_FILL,MARKET_ORDER,USD/CNH,7.04871,1250,Sell,0.1924,,,,,0,0,0,,0,,5008.29
109,2/23/2020 18:39,CST,TAKE_PROFIT_ORDER,ON_FILL,,6.94868,,,,,,,,,,,,,,
110,2/23/2020 18:39,CST,STOP_LOSS_ORDER,ON_FILL,,7.14868,,,,,,,,,,,,,,
111,2/23/2020 18:39,CST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,,,
112,2/23/2020 18:46,CST,ORDER_FILL,STOP_LOSS_ORDER,USD/MXN,19.05006,7000,Buy,1.3929,,,,,0,0,0,,-68.9469,,4939.35
113,2/23/2020 18:46,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
114,2/24/2020 8:12,CST,ORDER_FILL,STOP_LOSS_ORDER,USD/MXN,19.20001,1,Buy,0.0001,,,,,0,0,0,,-0.0177,,4939.33
115,2/24/2020 8:12,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
116,2/24/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0666,,,,,,4939.26
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0485,,,,,,
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 77,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 85,USD/JPY,,,,,,,,,-0.0082,,,,,,
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,-0.0093,,,,,,
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 81,USD/CNH,,,,,,,,,-0.0005,,,,,,
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,-0.0058,,,,,,
,2/24/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0013,,,,,,
117,2/25/2020 9:25,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/JPY,110.106,100,Buy,0.0073,,,,,0,0,0,,1.8164,,4941.08
118,2/25/2020 9:25,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
